         44177217 function calls (43296146 primitive calls) in 2347.560 seconds

   Ordered by: cumulative time
   List reduced from 1905 to 572 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32040    0.186    0.000    0.341    0.000 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\hooks\cmd_injection.py:123(<genexpr>)
    76394    0.330    0.000    0.330    0.000 {built-in method _thread.allocate_lock}
     7124    0.091    0.000    0.329    0.000 C:\Python312-32\Lib\site-packages\requests\adapters.py:135(__init__)
1285892/1285888    0.328    0.000    0.328    0.000 {built-in method builtins.getattr}
     3561    0.032    0.000    0.328    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:1651(notify_thread_not_alive)
     3562    0.036    0.000    0.320    0.000 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:259(_get_conn)
      3/2    0.000    0.000    0.317    0.159 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\excel_handler.py:43(read_testcases)
     7128    0.315    0.000    0.315    0.000 {built-in method _thread.start_new_thread}
    13896    0.087    0.000    0.309    0.000 C:\Python312-32\Lib\email\message.py:595(get_content_type)
    14249    0.076    0.000    0.305    0.000 C:\Python312-32\Lib\json\encoder.py:183(encode)
69214/69208    0.241    0.000    0.304    0.000 {built-in method builtins.any}
    24934    0.188    0.000    0.301    0.000 C:\Python312-32\Lib\http\client.py:1283(putheader)
    10598    0.110    0.000    0.299    0.000 C:\Python312-32\Lib\site-packages\requests\cookies.py:521(cookiejar_from_dict)
     7812    0.043    0.000    0.299    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:250(can_exit)
        1    0.000    0.000    0.295    0.295 C:\Python312-32\Lib\site-packages\paramiko\client.py:652(_auth)
    50779    0.103    0.000    0.294    0.000 C:\Python312-32\Lib\email\_policybase.py:311(header_fetch_parse)
     3562    0.038    0.000    0.276    0.000 C:\Python312-32\Lib\site-packages\requests\adapters.py:370(request_url)
    10571    0.063    0.000    0.275    0.000 C:\Python312-32\Lib\json\__init__.py:299(loads)
   501823    0.273    0.000    0.273    0.000 {method 'get' of 'dict' objects}
     2126    0.094    0.000    0.271    0.000 C:\Python312-32\Lib\site-packages\keyboard\_winkeyboard.py:498(process_key)
     3562    0.016    0.000    0.271    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:611(prepare_cookies)
     3562    0.052    0.000    0.266    0.000 C:\Python312-32\Lib\urllib\request.py:2679(getproxies_registry)
        1    0.000    0.000    0.265    0.265 C:\Python312-32\Lib\site-packages\paramiko\client.py:620(_key_from_filepath)
        2    0.000    0.000    0.264    0.132 C:\Python312-32\Lib\site-packages\paramiko\rsakey.py:49(__init__)
        1    0.000    0.000    0.264    0.264 C:\Python312-32\Lib\site-packages\paramiko\pkey.py:400(from_private_key_file)
        1    0.000    0.000    0.264    0.264 C:\Python312-32\Lib\site-packages\paramiko\rsakey.py:195(_from_private_key_file)
     6948    0.076    0.000    0.263    0.000 C:\Python312-32\Lib\http\cookiejar.py:1680(extract_cookies)
     3562    0.033    0.000    0.262    0.000 C:\Python312-32\Lib\site-packages\urllib3\connection.py:285(putrequest)
        1    0.000    0.000    0.261    0.261 C:\Python312-32\Lib\site-packages\paramiko\rsakey.py:203(_decode_key)
        1    0.000    0.000    0.261    0.261 C:\Python312-32\Lib\site-packages\cryptography\hazmat\primitives\serialization\base.py:46(load_der_private_key)
        1    0.000    0.000    0.261    0.261 C:\Python312-32\Lib\site-packages\cryptography\hazmat\backends\openssl\backend.py:799(load_der_private_key)
     7124    0.060    0.000    0.261    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:106(_encode_params)
   160227    0.212    0.000    0.259    0.000 C:\Python312-32\Lib\site-packages\keyboard\_winkeyboard.py:383(_setup_name_tables)
   274665    0.166    0.000    0.258    0.000 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:103(<lambda>)
    31630    0.114    0.000    0.257    0.000 C:\Python312-32\Lib\_collections_abc.py:804(get)
     3562    0.041    0.000    0.253    0.000 C:\Python312-32\Lib\site-packages\requests\cookies.py:140(get_cookie_header)
   441688    0.249    0.000    0.249    0.000 C:\Python312-32\Lib\os.py:703(__iter__)
   174787    0.145    0.000    0.249    0.000 C:\Python312-32\Lib\threading.py:314(_is_owned)
    32082    0.123    0.000    0.247    0.000 C:\Python312-32\Lib\os.py:680(__getitem__)
     7124    0.247    0.000    0.247    0.000 {built-in method winreg.OpenKey}
    10422    0.029    0.000    0.237    0.000 C:\Python312-32\Lib\email\message.py:619(get_content_maintype)
    35989    0.114    0.000    0.234    0.000 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\worksheet.py:252(_get_cell)
     3474    0.034    0.000    0.233    0.000 C:\Python312-32\Lib\email\feedparser.py:182(close)
    10687    0.019    0.000    0.230    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:355(add_command)
    10686    0.229    0.000    0.229    0.000 {built-in method winreg.QueryValueEx}
     3474    0.066    0.000    0.228    0.000 C:\Python312-32\Lib\email\message.py:482(items)
    28496    0.114    0.000    0.227    0.000 C:\Python312-32\Lib\urllib\parse.py:164(hostname)
     3474    0.076    0.000    0.226    0.000 C:\Python312-32\Lib\site-packages\urllib3\response.py:539(__init__)
     3562    0.086    0.000    0.225    0.000 C:\Python312-32\Lib\http\client.py:1126(putrequest)
    17818    0.048    0.000    0.220    0.000 C:\Python312-32\Lib\site-packages\openpyxl\cell\cell.py:215(value)
     7133    0.087    0.000    0.220    0.000 C:\Python312-32\Lib\ntpath.py:350(expanduser)
     3561    0.039    0.000    0.215    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:135(make_thread_killed_message)
